cafemumu.ru: 17 venues × 182 items → +2 new items, 57 menu links (APPROVED)
chaihona.ru: 25 venues × 252 items → +20 new items, 725 menu links (APPROVED)
chiho.ru: 14 venues × 75 items → +0 new items, 0 menu links (APPROVED)
citypizza.ru: 2 venues × 27 items → +0 new items, 0 menu links (APPROVED)
coffeemania.ru: 32 venues × 359 items → +34 new items, 1216 menu links (APPROVED)
daglavka.com: 12 venues × 147 items → +77 new items, 958 menu links (APPROVED)
delikateska.ru: 10 venues × 38 items → +4 new items, 42 menu links (APPROVED)
dodopizza.ru: 131 venues × 182 items → +0 new items, 0 menu links (APPROVED)
dominopizza.ru: 39 venues × 21 items → +0 new items, 0 menu links (APPROVED)
dominospizza.ru: 6 venues × 21 items → +0 new items, 0 menu links (APPROVED)
franklins.ru: 28 venues × 103 items → +0 new items, 0 menu links (APPROVED)
ilpatio.ru: 31 venues × 14 items → +0 new items, 0 menu links (APPROVED)
karavaevi.ru: 72 venues × 106 items → +0 new items, 0 menu links (APPROVED)
korchma.ru: 14 venues × 25 items → +0 new items, 0 menu links (APPROVED)
lcpizza.ru: 4 venues × 154 items → +0 new items, 0 menu links (APPROVED)
mezhdubulok.ru: 4 venues × 38 items → +0 new items, 0 menu links (APPROVED)
mnogolososya.ru: 7 venues × 105 items → +0 new items, 0 menu links (APPROVED)
moskva.sushi-master.ru: 3 venues × 27 items → +0 new items, 0 menu links (APPROVED)
msk.stolle.ru: 19 venues × 123 items → +0 new items, 0 menu links (APPROVED)
niyama.ru: 11 venues × 9 items → +0 new items, 0 menu links (APPROVED)
papajohns.ru: 45 venues × 29 items → +0 new items, 0 menu links (APPROVED)
pilsner.ru: 4 venues × 223 items → +0 new items, 0 menu links (APPROVED)
pizzahut.ru: 26 venues × 103 items → +0 new items, 0 menu links (APPROVED)
pizzapaolo.ru: 5 venues × 52 items → +0 new items, 0 menu links (APPROVED)
ramen.moscow: 5 venues × 8 items → +0 new items, 0 menu links (APPROVED)
skuratovcoffee.ru: 14 venues × 26 items → +0 new items, 0 menu links (APPROVED)
steakiteasy.ru: 3 venues × 170 items → +0 new items, 0 menu links (APPROVED)
syrovarnya.com: 9 venues × 132 items → +0 new items, 0 menu links (APPROVED)
thebull.ru: 22 venues × 157 items → +0 new items, 0 menu links (APPROVED)
uryk.ru: 7 venues × 10 items → +0 new items, 0 menu links (APPROVED)
vaffel.ru: 3 venues × 158 items → +0 new items, 0 menu links (APPROVED)
vkusnoitochka.ru: mass fast-food — skip (owner rule)
wolkonsky.com: 14 venues × 24 items → +0 new items, 0 menu links (APPROVED)
yakitoriya.ru: 35 venues × 193 items → +0 new items, 0 menu links (APPROVED)
yanprimus.ru: 5 venues × 64 items → +0 new items, 0 menu links (APPROVED)
zotmanpizza.ru: 21 venues × 204 items → +0 new items, 0 menu links (APPROVED)
=== ВСЕ 36 ДОМЕНОВ ОБРАБОТАНЫ ===
